a,a@mgt.com,123456,TRUE,TeamLeader
b,b@mgt.com,123456,TRUE,TeamLeader
c,c@mgt.com,123456,TRUE,TeamLeader
d,d@mgt.com,123456,TRUE,TeamMember
e,e@mgt.com,123456,TRUE,TeamMember
f,f@mgt.com,123456,TRUE,TeamMember
g,g@mgt.com,123456,TRUE,TeamMember
a,a@a.com,123456,TRUE,TeamLeader
b,b@b.com,123456,TRUE,TeamLeader
c,c@c.com,123456,TRUE,TeamMember
d,d@d.com,123456,TRUE,TeamMember
e,e@e.com,123456,TRUE,TeamMember
f,f@f.com,123456,TRUE,TeamMember
g,g@g.com,123456,TRUE,TeamMember
Henry,henry@h.com,123456,TRUE,TeamLeader
admin,admin@mgt.com,123456,TRUE,Admin
