"7","b@mgt.com","Task7","2","10/17/2014","10/17/2014","New"
"2","a@mgt.com","Task2","1","10/12/2014","10/18/2014","New"
"15","d@mgt.com","Task15","9","10/25/2014","10/29/2014","New"
"10","b@mgt.com","Task10","5","10/20/2014","10/20/2014","New"
"5","a@mgt.com","Task5","2","10/15/2014","10/20/2014","New"
"12","c@mgt.com","Task12","6","10/22/2014","10/26/2014","New"
"3","a@mgt.com","Task3","1","10/13/2014","10/19/2014","New"
"16","d@mgt.com","Task16","20","10/26/2014","10/30/2014","New"
"11","c@mgt.com","Task11","6","10/20/2014","10/25/2014","New"
"17","d@mgt.com","Task17","19","10/27/2014","10/30/2014","New"
"13","c@mgt.com","Task13","7","10/23/2014","10/27/2014","New"
"19","d@mgt.com","Task19","10","10/29/2014","11/30/2014","New"
"8","b@mgt.com","Task8","3","10/18/2014","10/18/2014","New"
"20","d@mgt.com","Task20","1","10/30/2014","04/13/2016","New"
"4","a@mgt.com","Task4","1","10/14/2014","10/20/2014","New"
"18","d@mgt.com","Task18","18","10/28/2014","11/30/2014","New"
"6","b@mgt.com","Task6","2","10/16/2014","10/22/2014","New"
"14","d@mgt.com","Task14","8","10/24/2014","10/28/2014","New"
"1","a@mgt.com","Task1","1","10/10/2014","10/17/2014","New"
"9","b@mgt.com","Task9","4","10/19/2014","10/19/2014","New"
