"8","b@mgt.com","P8","10/18/2014","10/18/2014","New"
"4","a@mgt.com","P4","10/14/2014","10/20/2014","New"
"10","b@mgt.com","P10","10/20/2014","10/20/2014","New"
"20","d@mgt.com","P20","10/30/2014","11/30/2014","New"
"14","d@mgt.com","P14","10/24/2014","10/28/2014","New"
"17","d@mgt.com","P17","10/27/2014","10/30/2014","New"
"2","a@mgt.com","P2","10/12/2014","10/18/2014","New"
"5","a@mgt.com","P5","10/15/2014","10/20/2014","New"
"13","c@mgt.com","P13","10/23/2014","10/27/2014","New"
"19","d@mgt.com","P19","10/29/2014","11/30/2014","New"
"15","d@mgt.com","P15","10/25/2014","10/29/2014","New"
"16","d@mgt.com","P16","10/26/2014","10/30/2014","New"
"11","c@mgt.com","P11","10/20/2014","10/25/2014","New"
"1","a@mgt.com","P1","10/10/2014","10/17/2014","New"
"6","b@mgt.com","P6","10/16/2014","10/22/2014","New"
"9","b@mgt.com","P9","10/19/2014","10/19/2014","New"
"3","a@mgt.com","P3","10/13/2014","10/19/2014","New"
"12","c@mgt.com","P12","10/22/2014","10/26/2014","New"
"18","d@mgt.com","P18","10/28/2014","11/30/2014","New"
"7","b@mgt.com","P7","10/17/2014","10/17/2014","New"
